Draw Date,One,Two,Three,Four,Five,Six,Jackpot
12-Nov-14,30,26,28,36,9,40,$2.0 Million
8-Nov-14,29,12,28,17,44,24,$1.9 Million
5-Nov-14,13,41,29,20,28,37,$1.8 Million
1-Nov-14,13,5,6,32,12,15,$1.7 Million
29-Oct-14,10,3,21,25,24,18,$1.6 Million
25-Oct-14,23,37,35,6,4,29,$1.5 Million
22-Oct-14,6,23,14,11,13,3,$1.4 Million
18-Oct-14,39,28,21,24,1,18,$1.3 Million
15-Oct-14,23,19,9,1,28,41,$1.2 Million
11-Oct-14,21,13,6,9,23,4,$1.1 Million
8-Oct-14,21,12,15,40,42,14,$1.0 Million
4-Oct-14,19,36,5,14,22,43,$3.8 Million
1-Oct-14,33,32,37,21,20,2,$3.7 Million
27-Sep-14,37,43,6,31,41,23,$3.6 Million
24-Sep-14,15,41,35,21,40,12,$3.5 Million
20-Sep-14,21,43,33,44,18,37,$3.4 Million
17-Sep-14,14,17,9,28,1,42,$3.3 Million
13-Sep-14,15,35,9,30,18,3,$3.2 Million
10-Sep-14,44,34,22,36,25,1,$3.1 Million
6-Sep-14,5,32,20,29,11,7,$3.0 Million
3-Sep-14,37,31,41,43,18,32,$2.9 Million
30-Aug-14,21,2,18,30,38,17,$2.8 Million
27-Aug-14,37,16,41,6,24,2,$2.7 Million
23-Aug-14,1,16,11,32,20,40,$2.6 Million
20-Aug-14,3,26,8,43,12,10,$2.5 Million
16-Aug-14,6,1,44,37,36,8,$2.4 Million
13-Aug-14,20,37,26,40,42,22,$2.3 Million
9-Aug-14,26,9,2,1,18,7,$2.2 Million
6-Aug-14,16,1,4,31,18,32,$2.1 Million
2-Aug-14,38,11,26,37,24,5,$2.0 Million
30-Jul-14,15,42,3,12,33,34,$1.9 Million
26-Jul-14,37,21,9,43,23,6,$1.8 Million
23-Jul-14,19,30,16,26,37,14,$1.7 Million
19-Jul-14,11,7,6,23,37,31,$1.6 Million
16-Jul-14,5,17,7,31,3,19,$1.5 Million
12-Jul-14,40,14,24,21,26,7,$1.4 Million
9-Jul-14,16,20,25,4,35,3,$1.3 Million
5-Jul-14,27,5,30,42,9,15,$1.2 Million
2-Jul-14,29,9,22,40,1,41,$1.1 Million
28-Jun-14,36,33,14,42,15,40,$1.0 Million
25-Jun-14,1,22,41,10,38,42,$3.0 Million
21-Jun-14,30,33,25,32,12,13,$2.9 Million
18-Jun-14,2,15,43,35,39,11,$2.8 Million
14-Jun-14,3,44,13,4,40,12,$2.7 Million
11-Jun-14,23,42,20,35,25,12,$2.6 Million
7-Jun-14,24,5,4,3,39,43,$2.5 Million
4-Jun-14,11,17,21,40,30,25,$2.4 Million
31-May-14,36,44,14,40,7,18,$2.3 Million
28-May-14,44,8,19,39,11,16,$2.2 Million
24-May-14,1,43,42,38,8,37,$2.1 Million
21-May-14,5,11,19,18,1,38,$2.0 Million
17-May-14,12,11,26,28,9,38,$1.9 Million
